,region_name,date,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Rectal pain,symptom:Shallow breathing,symptom:Ventricular fibrillation
0,Hawaii,2020-03-09,0.0,373.0727856576,739.8144996671999,363.51862298879996,156.7803560832,156.7803560832,156.7803560832,570.7173314688,156.7803560832
1,Hawaii,2020-03-16,0.0,330.1366088448,578.5448382336,434.77195662720004,156.7803560832,156.7803560832,156.7803560832,964.2797671871999,156.7803560832
2,Hawaii,2020-03-23,12.0,363.9790645632,418.65650152319995,492.78759500160004,156.7803560832,156.7803560832,156.7803560832,850.3204775232,156.7803560832
3,Hawaii,2020-03-30,7.0,453.4198403904,327.489069792,415.6636312896,156.7803560832,156.7803560832,156.7803560832,692.8494590784,156.7803560832
4,Hawaii,2020-04-06,25.0,417.3902871936,265.5596780352,306.6540885504,156.7803560832,156.7803560832,156.7803560832,512.24125152,156.7803560832
5,Hawaii,2020-04-13,7.0,546.8894799935999,267.1712235456,260.95526229120003,156.7803560832,156.7803560832,156.7803560832,484.72986744959996,156.7803560832
6,Hawaii,2020-04-20,17.0,368.00792833919996,199.6014225024,227.6883585408,156.7803560832,156.7803560832,156.7803560832,392.8717733568,156.7803560832
7,Hawaii,2020-04-27,4.0,436.9590541056,253.24286591999999,256.4659569408,156.7803560832,156.7803560832,156.7803560832,351.4320316608,156.7803560832
8,Hawaii,2020-05-04,9.0,437.7648268608,156.7803560832,212.49378658560002,156.7803560832,156.7803560832,156.7803560832,325.18686192,156.7803560832
9,Hawaii,2020-05-11,1.0,426.9444498624,195.5725587264,280.293808416,156.7803560832,156.7803560832,156.7803560832,365.0150581056,156.7803560832
10,Hawaii,2020-05-18,2.0,321.3882189312,156.7803560832,304.8123222528,156.7803560832,156.7803560832,156.7803560832,258.422833632,156.7803560832
11,Hawaii,2020-05-25,-1.0,535.6086614208,235.400754912,235.400754912,156.7803560832,156.7803560832,156.7803560832,416.23918325759996,156.7803560832
12,Hawaii,2020-06-01,0.0,322.19399168639995,164.49275245439998,263.9481325248,156.7803560832,156.7803560832,156.7803560832,298.2510298176,156.7803560832
13,Hawaii,2020-06-08,6.0,402.19571523839994,156.7803560832,303.315887136,156.7803560832,156.7803560832,156.7803560832,337.3885636416,156.7803560832
14,Hawaii,2020-06-15,7.0,433.04530072319994,182.1046426752,305.8483157952,156.7803560832,156.7803560832,156.7803560832,340.26632348159995,156.7803560832
15,Hawaii,2020-06-22,14.0,353.1586875648,225.040819488,186.9392792064,156.7803560832,156.7803560832,156.7803560832,401.6201632704,156.7803560832
16,Hawaii,2020-06-29,8.0,309.3016276032,235.51586530560002,172.20514882560002,156.7803560832,156.7803560832,156.7803560832,362.02218787199996,156.7803560832
17,Hawaii,2020-07-06,7.0,258.422833632,248.062898208,258.422833632,156.7803560832,156.7803560832,156.7803560832,410.0232220032,156.7803560832
18,Hawaii,2020-07-13,15.0,423.606248448,261.6459246528,285.81910730879997,156.7803560832,156.7803560832,156.7803560832,426.9444498624,156.7803560832
19,Hawaii,2020-07-20,21.0,349.82048615040003,285.2435553408,210.5369098944,156.7803560832,156.7803560832,156.7803560832,472.06772415359995,156.7803560832
20,Hawaii,2020-07-27,33.0,328.06462176,296.984815488,328.06462176,156.7803560832,156.7803560832,156.7803560832,379.86429888,156.7803560832
21,Hawaii,2020-08-03,43.0,471.377061792,369.6194738496,183.1406362176,156.7803560832,156.7803560832,156.7803560832,396.7855267392,156.7803560832
22,Hawaii,2020-08-10,42.0,335.0863557696,187.629941568,251.28598922879996,156.7803560832,156.7803560832,156.7803560832,341.7627585984,156.7803560832
23,Hawaii,2020-08-17,98.0,416.69962483200004,200.29208486399997,261.6459246528,156.7803560832,156.7803560832,156.7803560832,416.69962483200004,156.7803560832
24,Hawaii,2020-08-24,120.0,341.53253781120003,313.67582256,257.7321712704,156.7803560832,156.7803560832,156.7803560832,235.97630688,156.7803560832
25,Hawaii,2020-08-31,95.0,384.468714624,268.782769056,331.4028231744,156.7803560832,156.7803560832,156.7803560832,459.5206912512,156.7803560832
26,Hawaii,2020-09-07,43.0,366.7417140096,184.9824025152,363.6337333824,156.7803560832,156.7803560832,156.7803560832,322.884654048,156.7803560832
27,Hawaii,2020-09-14,91.0,346.9427263104,268.782769056,259.45882717439997,156.7803560832,156.7803560832,156.7803560832,381.36073399680004,156.7803560832
28,Hawaii,2020-09-21,76.0,398.5121826432,257.3868400896,295.02793879679996,156.7803560832,156.7803560832,156.7803560832,417.3902871936,156.7803560832
29,Idaho,2020-03-09,0.0,187.569984987,634.3575010605,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
30,Idaho,2020-03-16,0.0,187.569984987,529.3542080295,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
31,Idaho,2020-03-23,36.0,187.569984987,369.6056083755,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
32,Idaho,2020-03-30,30.0,187.569984987,283.44906024750003,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
33,Idaho,2020-04-06,65.0,187.569984987,256.2259842765,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
34,Idaho,2020-04-13,20.0,187.569984987,239.922054162,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
35,Idaho,2020-04-20,18.0,187.569984987,249.794158635,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
36,Idaho,2020-04-27,31.0,187.569984987,191.45899584000003,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
37,Idaho,2020-05-04,7.0,187.569984987,212.8485555315,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
38,Idaho,2020-05-11,6.0,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
39,Idaho,2020-05-18,12.0,187.569984987,234.23811522300002,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
40,Idaho,2020-05-25,17.0,187.569984987,229.15248564600003,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
41,Idaho,2020-06-01,18.0,187.569984987,214.493906277,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
42,Idaho,2020-06-08,6.0,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
43,Idaho,2020-06-15,17.0,187.569984987,202.228564356,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
44,Idaho,2020-06-22,29.0,187.569984987,343.2799964475,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
45,Idaho,2020-06-29,47.0,187.569984987,274.324842477,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
46,Idaho,2020-07-06,109.0,187.569984987,273.5769557745,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
47,Idaho,2020-07-13,115.0,187.569984987,205.9679978685,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
48,Idaho,2020-07-20,140.0,187.569984987,286.1414523765,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
49,Idaho,2020-07-27,133.0,187.569984987,282.8507508855,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
50,Idaho,2020-08-03,132.0,187.569984987,324.283674204,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
51,Idaho,2020-08-10,115.0,187.569984987,209.40827670000002,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
52,Idaho,2020-08-17,143.0,187.569984987,221.972773302,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
53,Idaho,2020-08-24,119.0,187.569984987,221.2248865995,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
54,Idaho,2020-08-31,101.0,187.569984987,286.889339079,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
55,Idaho,2020-09-07,130.0,187.569984987,272.829069072,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
56,Idaho,2020-09-14,115.0,187.569984987,204.920956485,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
57,Idaho,2020-09-21,100.0,187.569984987,238.87501277850004,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987,187.569984987
58,Maine,2020-03-09,0.0,135.5425416504,254.64604264680003,252.94910941800003,256.2369175488,165.3449314812,198.43512944280002,279.3576327912,218.2680365544
59,Maine,2020-03-16,0.0,161.73894837,270.1305583596,276.6001162944,250.72188455520003,205.43497901160003,134.2698417288,365.5830524796,145.61808269640002
60,Maine,2020-03-23,0.0,148.79983250040002,193.7685630636,373.5374269896,221.661903012,478.9594038288,181.35973882800002,316.1598721908,198.329071116
61,Maine,2020-03-30,86.0,126.4215255456,132.46685017320002,254.3278676664,164.07223155960003,221.2376697048,150.4967657292,326.5535882172,149.011949154
62,Maine,2020-04-06,34.0,145.9362576768,139.6788163956,228.13146094680002,138.1939998204,228.13146094680002,190.90498824000002,266.9488085556,159.82989848760002
63,Maine,2020-04-13,16.0,209.78337041040004,146.46654931080002,179.66280559920003,179.66280559920003,220.38920309040003,161.5268317164,229.4041608684,166.0873397688
64,Maine,2020-04-20,23.0,191.7534548544,105.95226847320001,215.1923450772,193.34432975640001,210.41972037120001,199.6017710376,215.1923450772,115.39145955840002
65,Maine,2020-04-27,24.0,176.587114122,86.7557113224,175.10229754680003,193.34432975640001,208.61672881560003,178.17798902400003,150.70888238280003,162.90558996480001
66,Maine,2020-05-04,16.0,189.7383466452,146.890782618,244.7826182544,205.0107457044,235.66160214960001,201.9350542272,189.7383466452,151.4512906704
67,Maine,2020-05-11,17.0,188.57170505040003,127.80028379400001,127.80028379400001,193.2382714296,151.2391740168,205.753153992,183.9051386712,95.02826081280001
68,Maine,2020-05-18,36.0,167.78427299760003,72.54389553120001,133.8456084216,217.73774492040002,143.6029744872,190.37469660600001,154.845157128,151.66340732400002
69,Maine,2020-05-25,31.0,151.02705736320002,120.90649255200002,103.40686863,219.43467814920004,189.2080550112,195.57155461920001,147.951365886,158.98143187320002
70,Maine,2020-06-01,15.0,160.3601901216,105.3159185124,106.90679341440001,215.4044617308,144.6635577552,187.08688847520003,136.81524157200002,147.8453075592
71,Maine,2020-06-08,16.0,143.709032814,100.64935213320001,162.90558996480001,276.28194131400005,138.936408108,188.4656467236,135.754658304,290.7058737588
72,Maine,2020-06-15,22.0,151.66340732400002,99.48271053840001,140.2091080296,270.66084999360004,148.3755991932,231.5253274044,140.2091080296,282.11514928800005
73,Maine,2020-06-22,10.0,69.7863790344,77.63469521760001,166.4055147492,122.0731341468,88.7708195316,210.8439536784,164.8146398472,256.7672091828
74,Maine,2020-06-29,13.0,182.420322096,135.6485999772,116.9823344604,283.81208251680005,143.4969161604,191.7534548544,146.57260763760002,194.9352046584
75,Maine,2020-07-06,12.0,210.41972037120001,108.28555166280002,150.92099903640002,237.88882701240001,144.87567440880002,192.17768816160003,176.90528910240002,190.5868132596
76,Maine,2020-07-13,4.0,170.22361451400002,142.648449546,115.073284578,288.37259056920004,159.5117235072,203.9501624364,159.5117235072,194.82914633160001
77,Maine,2020-07-20,6.0,218.2680365544,144.4514411016,129.0729837156,328.8868714068,165.981281442,233.64649394040003,175.2083558736,187.5111217824
78,Maine,2020-07-27,7.0,247.0098431172,171.284197782,131.8305002124,333.3413211324,133.3153167876,131.8305002124,165.13281482760001,168.2085063048
79,Maine,2020-08-03,5.0,104.5735102248,122.7094841076,98.5281855972,324.22030502760003,139.3606414152,212.1166536,159.08749020000002,186.34448018760003
80,Maine,2020-08-10,7.0,202.4653458612,80.074036734,176.79923077560002,335.4624876684,170.75390614800003,234.1767855744,164.7085815204,117.83080107480001
81,Maine,2020-08-17,8.0,210.52577869800004,139.3606414152,136.284949938,265.0397586732,139.3606414152,205.96527064560004,163.54193992560002,137.7697665132
82,Maine,2020-08-24,12.0,235.13131051560003,98.2100106168,154.845157128,287.3120073012,163.7540565792,214.34387846280003,156.3299737032,151.76946565080002
83,Maine,2020-08-31,4.0,212.1166536,93.2252692572,154.9512154548,251.25217618920004,150.3907074024,162.4813566576,135.43648332360002,209.0409621228
84,Maine,2020-09-07,7.0,221.9800779924,84.31636980600001,204.16227909000003,300.35718149760004,221.9800779924,214.55599511640003,136.17889161120002,232.267735692
85,Maine,2020-09-14,8.0,264.93370034640003,97.1494273488,210.41972037120001,197.1624295212,354.6590448192,229.616277522,175.10229754680003,198.6472460964
86,Maine,2020-09-21,6.0,214.9802284236,123.66400904880001,176.6931724488,325.38694662240005,296.00879009880003,203.2077541488,145.83019935000002,184.1172553248
87,Montana,2020-03-09,0.0,75.4219534152,121.5614203086,112.09023030600001,104.7913315884,89.063942685,85.9358432346,102.70593195480001,74.3792535984
88,Montana,2020-03-16,0.0,58.564973043600006,114.95765480220001,118.2595375554,73.7710120386,87.8474595654,38.1454349646,163.790762889,38.1454349646
89,Montana,2020-03-23,8.0,38.1454349646,75.6826283694,146.2386493062,76.63843653480001,231.0449010726,57.5222732268,136.1592177438,59.520781209
90,Montana,2020-03-30,16.0,59.8683478146,51.0053993718,106.007814708,70.6429125882,95.146358283,63.7784721276,104.9651148912,70.6429125882
91,Montana,2020-04-06,23.0,62.6488806594,50.5709411148,83.85044360100001,73.7710120386,85.9358432346,63.6915804762,67.6885964406,58.651864695
92,Montana,2020-04-13,8.0,44.1409589112,49.0068913896,73.5103370844,95.0594666316,114.696979848,92.10515048399999,58.8256479978,68.64440460600001
93,Montana,2020-04-20,6.0,76.1170866264,38.1454349646,65.9507634126,74.1185786442,86.2834098402,77.1597864432,70.0346710284,84.284901858
94,Montana,2020-04-27,0.0,74.292361947,44.4016338654,74.292361947,64.0391470818,75.3350617638,90.8886673644,58.8256479978,51.6136409316
95,Montana,2020-05-04,1.0,38.1454349646,51.0922910232,66.6458966238,112.524688563,76.030194975,77.0728947918,61.4323975398,79.1582944254
96,Montana,2020-05-11,1.0,49.875807903600005,38.1454349646,66.47211332100001,73.7710120386,62.3013140538,87.2392180056,38.1454349646,108.0063226902
97,Montana,2020-05-18,2.0,64.9080635958,38.1454349646,63.865363779,94.7987916774,66.03765506399999,93.6692002092,54.307282125,58.564973043600006
98,Montana,2020-05-25,2.0,81.9388272702,38.1454349646,59.7814561632,110.6999638836,76.3777615806,77.5073530488,66.3852216696,87.4130013084
99,Montana,2020-06-01,2.0,49.7020246008,38.1454349646,61.6061808426,84.284901858,78.8976194712,70.2953459826,38.1454349646,70.2953459826
100,Montana,2020-06-08,8.0,64.9080635958,72.4676372676,38.1454349646,92.974066998,108.0932143416,77.8549196544,38.1454349646,81.0699107562
101,Montana,2020-06-15,12.0,66.2114383668,38.1454349646,56.392681758600006,80.2878858936,38.1454349646,86.8047597486,38.1454349646,88.9770510336
102,Montana,2020-06-22,8.0,73.7710120386,38.1454349646,51.0053993718,97.57932452220001,63.9522554304,38.1454349646,65.0818468986,81.3305857104
103,Montana,2020-06-29,15.0,58.3911897408,51.7874242344,58.3911897408,86.9785430514,67.16724653220001,75.9433033236,51.7874242344,80.374777545
104,Montana,2020-07-06,16.0,93.58230855779999,47.2690583616,62.0406390996,105.13889819399999,63.083338916399995,69.4264294686,49.4413496466,87.2392180056
105,Montana,2020-07-13,37.0,60.82415598,38.1454349646,60.82415598,73.423445433,47.1821667102,81.8519356188,86.02273488600001,70.2953459826
106,Montana,2020-07-20,34.0,75.9433033236,52.7432323998,50.5709411148,95.9283831456,71.685612405,68.5575129546,68.5575129546,76.9860031404
107,Montana,2020-07-27,34.0,65.16873855,67.2541381836,49.4413496466,105.13889819399999,57.869839832400004,96.7104080082,59.955239466,60.9979392828
108,Montana,2020-08-03,39.0,68.1230546976,38.1454349646,43.011367443000005,88.0212428682,46.1394668934,72.29385396480001,55.5237652446,57.6091648782
109,Montana,2020-08-10,54.0,66.9934632294,38.1454349646,48.1379748756,129.90301884299998,58.651864695,94.27744176899999,60.737264328600006,66.9934632294
110,Montana,2020-08-17,53.0,81.5912606646,49.962699555,38.1454349646,102.96660690899999,41.7948843234,71.3380457994,53.003907354,49.962699555
111,Montana,2020-08-24,53.0,50.049591206399995,48.0510832242,61.0848309342,99.1433742474,53.0907990054,87.06543470279999,42.0555592776,95.146358283
112,Montana,2020-08-31,54.0,68.4706213032,75.4219534152,43.6196090028,94.27744176899999,98.187566082,70.4691292854,41.6211010206,84.3717935094
113,Montana,2020-09-07,39.0,72.55452891899999,58.8256479978,103.9224150744,105.8340314052,99.92539911,75.4219534152,43.0982590944,77.4204613974
114,Montana,2020-09-14,45.0,66.7327882752,68.64440460600001,75.3350617638,84.89314341779999,102.0107987436,64.8211719444,38.1454349646,88.7163760794
115,Montana,2020-09-21,117.0,81.67815231600001,70.0346710284,94.27744176899999,99.1433742474,107.9194310388,104.9651148912,50.5709411148,106.9636228734
116,North Dakota,2020-03-09,0.0,22.726212964000005,46.43518108320001,48.707802379600004,36.54620733400001,39.4330506024,39.4330506024,23.217590541600003,35.379185587200006
117,North Dakota,2020-03-16,3.0,26.902922373600003,26.902922373600003,56.75411021280001,37.6518068836,58.5967761288,46.005225702800004,66.95019494800002,40.66149454640001
